,,,Offensive Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defensive Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Last,First,GP,PA,AB,H,1B,2B,3B,HR,RBI,R,HBP,ROE,FC,CI,BB,SO,AVG,OBP,SLG,OPS,PA/BB,BB/K,C%,K-L,SB,CS,SB%,PIK,GIDP,GITP,XBH,TB,AB/HR,BA/RISP,PS,PS/PA,2S+3,2S+3%,6+,6+%,FLB%,GB%,SAC,SF,LOB,2OUTRBI,HHB,QAB,QAB%,BABIP,IP,GP,GS,W,L,SV,SVO,BS,SV%,H,R,ER,BB,SO,HBP,ERA,WHIP,BF,#P,TS,TB,P/IP,P/BF,<3,<3%,LOO,1ST2OUT,123INN,<13,FIP,S%,FPS,FPS%,FPSO%,FPSW%,FPSH%,BB/INN,0BBINN,BBS,LOBB,LOBBS,WP,ABA,SM,SM%,K/G,K/BF,K/BB,WEAK%,HHB%,GB%,FLB%,GO,FO,GO/FO,BAA,HR,BABIP,LOB,BK,PIK,SB,CS,SB%,FB,FBS,FBS%,CT,CTS,CTS%,CB,CBS,CBS%,SL,SLS,SLS%,CH,CHS,CHS%,OS,OSS,OSS%,TC,A,PO,E,DP,TP,FPCT,cINN,cPB,cSB,cCS,cCS%,cPIK,cCI
00,Pitcher,HR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,0.0,4,0,1,3,0,0,0,.000,3,3,3,0,0,0,.000,.000,3,3,3,0,.000,1.000,3,1.000,0,0,0,1,.000,1.000,3,1.000,.000,.000,1.000,.000,1,0,0,0,0,3,0,.000,.000,.000,.000,.000,1.000,.000,1.000,0,0,.000,1.000,3,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,.000,0.0,0,0,0,.000,0,0
0,Hitter,HR,2,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1.000,1.000,4.000,5.000,.000,.000,1.000,0,0,0,.000,0,0,0,1,4,1.000,.000,1,1.000,0,.000,0,.000,100.00%,0.00%,0,0,0,0,1,1,100.00%,.000,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,.000,0.0,0,0,0,.000,0,0
1,Moore,Shane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,10.1,8,0,0,1,1,1,0,1.000,14,16,16,15,7,5,10.839,2.806,64,263,128,135,25.452,4.109,21,.328,5,1,1,0,6.838,.487,24,.375,.458,.167,.292,1.452,5,7,3,2,6,44,16,.061,4.742,.109,.467,.730,.270,.486,.514,8,11,.727,.318,0,.378,14,0,0,2,0,1.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,.000,0.0,0,0,0,.000,0,0
2,Minor,Brock,4,11,11,2,2,0,0,0,0,1,0,0,1,0,0,2,.182,.182,.182,.364,.000,.000,.818,2,0,0,.000,1,0,0,0,2,.000,.000,42,3.818,1,.091,1,.091,44.44%,33.33%,0,0,9,0,2,3,27.27%,.222,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,8,0,8,0,0,0,1.000,0.0,0,0,0,.000,0,0
2,Roth,Brandon,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,1.000,0,0,0,.000,0,0,0,0,0,.000,.000,3,1.500,0,.000,0,.000,100.00%,0.00%,0,0,2,0,0,0,0.00%,.000,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,1,0,1,0,0,0,1.000,0.0,0,0,0,.000,0,0
3,Wolfe,Gage,16,60,49,12,8,1,3,0,5,12,4,0,2,0,6,18,.245,.367,.388,.754,10.000,.333,.633,8,5,2,.714,1,2,0,4,19,.000,.176,216,3.600,6,.100,8,.133,25.00%,50.00%,0,1,30,2,14,25,41.67%,.375,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,48,30,18,0,6,0,1.000,0.0,0,0,0,.000,0,0
4,Murphy,Mitch,20,52,37,7,7,0,0,0,3,7,6,0,3,0,8,9,.189,.404,.189,.593,6.500,.889,.757,2,2,1,.667,0,1,0,0,7,.000,.083,193,3.712,6,.115,7,.135,17.24%,75.86%,0,1,24,2,10,23,44.23%,.241,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,25,2,21,2,0,0,.920,0.0,0,0,0,.000,0,0
5,Ferrari,Dom,20,61,55,11,8,3,0,0,9,7,1,2,0,0,4,21,.200,.262,.255,.517,15.250,.190,.618,4,1,2,.333,0,0,0,3,14,.000,.231,212,3.475,4,.066,6,.098,45.71%,31.43%,0,1,39,4,12,21,34.43%,.314,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,117,5,110,2,2,0,.983,72.0,2,16,2,.111,0,0
6,Telford,Mason,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,9.0,4,0,2,1,0,0,0,.000,9,5,4,5,8,0,3.111,1.556,39,159,100,59,17.667,4.077,18,.462,5,1,1,4,2.834,.629,23,.590,.522,.087,.348,.556,6,1,1,1,4,33,15,.094,6.222,.205,1.600,.577,.423,.308,.692,5,10,.500,.273,0,.346,8,0,0,2,1,.667,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,2,1,1,0,0,0,1.000,0.0,0,0,0,.000,0,0
