,,,Offensive Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defensive Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Last,First,GP,PA,AB,H,1B,2B,3B,HR,RBI,R,HBP,ROE,FC,CI,BB,SO,AVG,OBP,SLG,OPS,PA/BB,BB/K,C%,K-L,SB,CS,SB%,PIK,GIDP,GITP,XBH,TB,AB/HR,BA/RISP,PS,PS/PA,2S+3,2S+3%,6+,6+%,FLB%,GB%,SAC,SF,LOB,2OUTRBI,HHB,QAB,QAB%,BABIP,IP,GP,GS,W,L,SV,SVO,BS,SV%,H,R,ER,BB,SO,HBP,ERA,WHIP,BF,#P,TS,TB,P/IP,P/BF,<3,<3%,LOO,1ST2OUT,123INN,<13,FIP,S%,FPS,FPS%,FPSO%,FPSW%,FPSH%,BB/INN,0BBINN,BBS,LOBB,LOBBS,WP,ABA,SM,SM%,K/G,K/BF,K/BB,WEAK%,HHB%,GB%,FLB%,GO,FO,GO/FO,BAA,HR,BABIP,LOB,BK,PIK,SB,CS,SB%,FB,FBS,FBS%,CT,CTS,CTS%,CB,CBS,CBS%,SL,SLS,SLS%,CH,CHS,CHS%,OS,OSS,OSS%,TC,A,PO,E,DP,TP,FPCT,cINN,cPB,cSB,cCS,cCS%,cPIK,cCI
00,Pitcher,HR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,0.0,2,0,0,2,0,0,0,.000,2,2,2,0,0,0,.000,.000,2,2,2,0,.000,1.000,2,1.000,0,0,0,1,.000,1.000,2,1.000,.000,.000,1.000,.000,1,0,0,0,0,2,0,.000,.000,.000,.000,.000,1.000,.000,1.000,0,0,.000,1.000,2,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,.000,0.0,0,0,0,.000,0,0
0,Hitter,HR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,.000,0.0,0,0,0,.000,0,0
1,Moore,Shane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,2.2,2,0,0,1,0,0,0,.000,3,8,8,7,2,1,21.000,3.750,19,84,36,48,31.500,4.421,5,.263,3,0,0,0,9.448,.429,7,.368,.286,.286,.286,2.625,0,4,1,0,0,11,4,.048,5.250,.105,.286,.889,.111,.222,.778,0,5,.000,.273,0,.333,2,0,0,2,0,1.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,.000,0.0,0,0,0,.000,0,0
2,Minor,Brock,3,8,8,1,1,0,0,0,0,0,0,0,1,0,0,1,.125,.125,.125,.250,.000,.000,.875,1,0,0,.000,1,0,0,0,1,.000,.000,33,4.125,1,.125,1,.125,42.86%,42.86%,0,0,8,0,1,2,25.00%,.143,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,7,0,7,0,0,0,1.000,0.0,0,0,0,.000,0,0
3,Wolfe,Gage,2,9,6,2,1,0,1,0,1,2,1,0,0,0,2,1,.333,.556,.667,1.222,4.500,2.000,.833,0,2,0,1.000,1,0,0,1,4,.000,.000,36,4.000,0,.000,2,.222,20.00%,60.00%,0,0,5,0,3,5,55.56%,.400,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,6,3,3,0,0,0,1.000,0.0,0,0,0,.000,0,0
4,Murphy,Mitch,5,13,11,3,3,0,0,0,0,2,1,0,1,0,1,3,.273,.385,.273,.657,13.000,.333,.727,1,0,1,.000,0,0,0,0,3,.000,.000,50,3.846,1,.077,1,.077,0.00%,87.50%,0,0,5,0,4,5,38.46%,.375,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,8,1,6,1,0,0,.875,0.0,0,0,0,.000,0,0
5,Ferrari,Dom,6,17,16,3,2,1,0,0,1,2,0,0,0,0,1,6,.188,.235,.250,.485,17.000,.167,.625,1,1,0,1.000,0,0,0,1,4,.000,.250,56,3.294,1,.059,1,.059,30.00%,60.00%,0,0,9,0,4,6,35.29%,.300,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,29,1,27,1,1,0,.966,13.0,0,2,1,.333,0,0
6,Telford,Mason,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,2.2,1,0,0,0,0,0,0,.000,3,3,2,1,3,0,5.250,1.500,12,45,28,17,16.875,3.750,5,.417,1,1,1,1,1.888,.622,7,.583,.429,.143,.429,.375,2,1,1,1,1,10,5,.111,7.875,.250,3.000,.625,.375,.375,.625,2,2,1.000,.300,0,.375,1,0,0,2,1,.667,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,1,0,1,0,0,0,1.000,0.0,0,0,0,.000,0,0
7,Brewer,Hunter,6,18,13,2,1,1,0,0,2,1,1,0,1,0,4,2,.154,.389,.231,.620,4.500,2.000,.846,0,0,0,.000,1,0,0,1,3,.000,.333,68,3.778,2,.111,3,.167,36.36%,54.55%,0,0,6,1,2,9,50.00%,.182,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,9,2,6,1,1,0,.889,0.0,0,0,0,.000,0,0
