Exit Velo.,Spin,Spin type,L. Angle,Distance
87.8,863,Top,11.3,147
59.1,1512,Top,-9.6,15
61.1,1686,Back,50.5,180
95.7,981,Back,19.8,339
87.4,544,Top,8.4,128
80.9,2677,Back,21.7,261
92,581,Back,16.1,271
76.5,1721,Back,44.6,272
98.1,2121,Side,5.5,119
81,3413,Back,23.8,267
61.7,1290,Back,52.9,184
40.8,94,Side,57.2,86
89.1,929,Top,8.4,132
78.2,2515,Back,29.1,294
79.2,1627,Back,9.6,148
90.3,1669,Back,17.7,278
94.1,1081,Top,8,117
60.6,2117,Back,55.5,165
73.3,2282,Back,37.8,265
74.6,3367,Back,31.9,156
87.3,1631,Top,6.1,86
91.7,1016,Back,24.4,340
75.3,3045,Back,23.7,240
73.1,2250,Back,32.4,267
75.7,955,Top,-9.3,12
80,1994,Back,41.5,295
91,2602,Back,30.5,350
87.6,840,Top,12.7,164
90.4,1846,Top,8.4,112
36.9,340,Side,0.8,26
90.7,951,Back,16.3,257
85.9,919,Back,15.7,217
70,920,Back,15.7,151
81.7,1190,Top,10.7,122
37.2,2529,Back,56.6,75
